ID	Name	Bgd count	Result count	Result gene list	Pct of bgd	Fold enrichment	Odds ratio	P-value	Benjamini	Bonferroni
GO:0051171	regulation of nitrogen compound metabolic process	521	70	AFUB_000960,AFUB_001990,AFUB_005600,AFUB_007280,AFUB_011400,AFUB_013000,AFUB_014910,AFUB_015800,AFUB_015960,AFUB_016220,AFUB_018660,AFUB_020650,AFUB_021650,AFUB_022340,AFUB_022390,AFUB_023920,AFUB_024050,AFUB_026940,AFUB_028100,AFUB_029400,AFUB_030320,AFUB_030660,AFUB_031270,AFUB_033200,AFUB_035330,AFUB_037190,AFUB_037210,AFUB_037220,AFUB_038600,AFUB_039140,AFUB_039150,AFUB_039500,AFUB_040580,AFUB_041920,AFUB_042820,AFUB_051440,AFUB_053150,AFUB_054310,AFUB_055940,AFUB_057290,AFUB_058830,AFUB_060620,AFUB_063540,AFUB_063950,AFUB_064490,AFUB_065710,AFUB_066820,AFUB_067230,AFUB_067340,AFUB_069810,AFUB_072930,AFUB_073740,AFUB_074500,AFUB_080790,AFUB_081500,AFUB_082080,AFUB_085610,AFUB_085820,AFUB_088380,AFUB_089880,AFUB_090180,AFUB_090370,AFUB_094600,AFUB_096010,AFUB_096500,AFUB_098510,AFUB_099350,AFUB_100220,AFUB_101810,AFUB_101990,	13.4	1.84	2.12	2.24782822187e-07	2.26153063425e-05	0.000275134174357
GO:0051252	regulation of RNA metabolic process	462	64	AFUB_000960,AFUB_001990,AFUB_005600,AFUB_007280,AFUB_013000,AFUB_014910,AFUB_015800,AFUB_015960,AFUB_016220,AFUB_020650,AFUB_021650,AFUB_022340,AFUB_022390,AFUB_023920,AFUB_024050,AFUB_026940,AFUB_029400,AFUB_030320,AFUB_030660,AFUB_031270,AFUB_033200,AFUB_035330,AFUB_037190,AFUB_037210,AFUB_037220,AFUB_038600,AFUB_039150,AFUB_039500,AFUB_040580,AFUB_041920,AFUB_042820,AFUB_051440,AFUB_053150,AFUB_055940,AFUB_057290,AFUB_058830,AFUB_060620,AFUB_063540,AFUB_063950,AFUB_064490,AFUB_065710,AFUB_066820,AFUB_067230,AFUB_067340,AFUB_069810,AFUB_072930,AFUB_073740,AFUB_074500,AFUB_080790,AFUB_081500,AFUB_082080,AFUB_085610,AFUB_085820,AFUB_088380,AFUB_089880,AFUB_090370,AFUB_094600,AFUB_096010,AFUB_096500,AFUB_098510,AFUB_099350,AFUB_100220,AFUB_101810,AFUB_101990,	13.9	1.9	2.19	2.58671804571e-07	2.26153063425e-05	0.000316614288795
GO:0019219	regulation of nucleobase-containing compound metabolic process	462	64	AFUB_000960,AFUB_001990,AFUB_005600,AFUB_007280,AFUB_013000,AFUB_014910,AFUB_015800,AFUB_015960,AFUB_016220,AFUB_020650,AFUB_021650,AFUB_022340,AFUB_022390,AFUB_023920,AFUB_024050,AFUB_026940,AFUB_029400,AFUB_030320,AFUB_030660,AFUB_031270,AFUB_033200,AFUB_035330,AFUB_037190,AFUB_037210,AFUB_037220,AFUB_038600,AFUB_039150,AFUB_039500,AFUB_040580,AFUB_041920,AFUB_042820,AFUB_051440,AFUB_053150,AFUB_055940,AFUB_057290,AFUB_058830,AFUB_060620,AFUB_063540,AFUB_063950,AFUB_064490,AFUB_065710,AFUB_066820,AFUB_067230,AFUB_067340,AFUB_069810,AFUB_072930,AFUB_073740,AFUB_074500,AFUB_080790,AFUB_081500,AFUB_082080,AFUB_085610,AFUB_085820,AFUB_088380,AFUB_089880,AFUB_090370,AFUB_094600,AFUB_096010,AFUB_096500,AFUB_098510,AFUB_099350,AFUB_100220,AFUB_101810,AFUB_101990,	13.9	1.9	2.19	2.58671804571e-07	2.26153063425e-05	0.000316614288795
GO:0019222	regulation of metabolic process	576	75	AFUB_000960,AFUB_001990,AFUB_005600,AFUB_007280,AFUB_011400,AFUB_013000,AFUB_014910,AFUB_015800,AFUB_015960,AFUB_016220,AFUB_018660,AFUB_020650,AFUB_021650,AFUB_022340,AFUB_022390,AFUB_023920,AFUB_024050,AFUB_026940,AFUB_027530,AFUB_028100,AFUB_029400,AFUB_030320,AFUB_030660,AFUB_031270,AFUB_032790,AFUB_033200,AFUB_035330,AFUB_037190,AFUB_037210,AFUB_037220,AFUB_038600,AFUB_039140,AFUB_039150,AFUB_039500,AFUB_040580,AFUB_041920,AFUB_042250,AFUB_042820,AFUB_043130,AFUB_051440,AFUB_053150,AFUB_054310,AFUB_055320,AFUB_055940,AFUB_057290,AFUB_058830,AFUB_060620,AFUB_063540,AFUB_063950,AFUB_064490,AFUB_065710,AFUB_066820,AFUB_067230,AFUB_067340,AFUB_069810,AFUB_072930,AFUB_073740,AFUB_074500,AFUB_080790,AFUB_081500,AFUB_082080,AFUB_085610,AFUB_085820,AFUB_088380,AFUB_089880,AFUB_090180,AFUB_090370,AFUB_094600,AFUB_096010,AFUB_096500,AFUB_098510,AFUB_099350,AFUB_100220,AFUB_101810,AFUB_101990,	13.0	1.79	2.05	2.87370013341e-07	2.34493930886e-05	0.000351740896329
GO:0009889	regulation of biosynthetic process	518	69	AFUB_000960,AFUB_001990,AFUB_005600,AFUB_007280,AFUB_013000,AFUB_014910,AFUB_015800,AFUB_015960,AFUB_016220,AFUB_018660,AFUB_020650,AFUB_021650,AFUB_022340,AFUB_022390,AFUB_023920,AFUB_024050,AFUB_026940,AFUB_028100,AFUB_029400,AFUB_030320,AFUB_030660,AFUB_031270,AFUB_032790,AFUB_033200,AFUB_035330,AFUB_037190,AFUB_037210,AFUB_037220,AFUB_038600,AFUB_039150,AFUB_039500,AFUB_040580,AFUB_041920,AFUB_042820,AFUB_043130,AFUB_051440,AFUB_053150,AFUB_054310,AFUB_055940,AFUB_057290,AFUB_058830,AFUB_060620,AFUB_063540,AFUB_063950,AFUB_064490,AFUB_065710,AFUB_066820,AFUB_067230,AFUB_067340,AFUB_069810,AFUB_072930,AFUB_073740,AFUB_074500,AFUB_080790,AFUB_081500,AFUB_082080,AFUB_085610,AFUB_085820,AFUB_088380,AFUB_089880,AFUB_090370,AFUB_094600,AFUB_096010,AFUB_096500,AFUB_098510,AFUB_099350,AFUB_100220,AFUB_101810,AFUB_101990,	13.3	1.83	2.1	3.86489192768e-07	2.95664232467e-05	0.000473062771948
GO:0045595	regulation of cell differentiation	74	19	AFUB_005130,AFUB_015960,AFUB_019860,AFUB_023920,AFUB_026940,AFUB_028890,AFUB_029400,AFUB_030320,AFUB_035330,AFUB_037920,AFUB_039530,AFUB_046660,AFUB_055940,AFUB_060190,AFUB_063950,AFUB_072930,AFUB_088500,AFUB_089440,AFUB_093810,	25.7	3.52	4.52	8.62236295537e-07	6.20810132787e-05	0.00105537722574
GO:0031326	regulation of cellular biosynthetic process	511	67	AFUB_000960,AFUB_001990,AFUB_005600,AFUB_007280,AFUB_013000,AFUB_014910,AFUB_015800,AFUB_015960,AFUB_016220,AFUB_018660,AFUB_020650,AFUB_021650,AFUB_022340,AFUB_022390,AFUB_023920,AFUB_024050,AFUB_026940,AFUB_028100,AFUB_029400,AFUB_030320,AFUB_030660,AFUB_031270,AFUB_033200,AFUB_035330,AFUB_037190,AFUB_037210,AFUB_037220,AFUB_038600,AFUB_039150,AFUB_039500,AFUB_040580,AFUB_041920,AFUB_042820,AFUB_051440,AFUB_053150,AFUB_054310,AFUB_055940,AFUB_057290,AFUB_058830,AFUB_060620,AFUB_063540,AFUB_063950,AFUB_064490,AFUB_065710,AFUB_066820,AFUB_067230,AFUB_067340,AFUB_069810,AFUB_072930,AFUB_073740,AFUB_074500,AFUB_080790,AFUB_081500,AFUB_082080,AFUB_085610,AFUB_085820,AFUB_088380,AFUB_089880,AFUB_090370,AFUB_094600,AFUB_096010,AFUB_096500,AFUB_098510,AFUB_099350,AFUB_100220,AFUB_101810,AFUB_101990,	13.1	1.8	2.05	1.04157625374e-06	7.08271852546e-05	0.00127488933458
GO:0031323	regulation of cellular metabolic process	544	70	AFUB_000960,AFUB_001990,AFUB_005600,AFUB_007280,AFUB_011400,AFUB_013000,AFUB_014910,AFUB_015800,AFUB_015960,AFUB_016220,AFUB_018660,AFUB_020650,AFUB_021650,AFUB_022340,AFUB_022390,AFUB_023920,AFUB_024050,AFUB_026940,AFUB_028100,AFUB_029400,AFUB_030320,AFUB_030660,AFUB_031270,AFUB_033200,AFUB_035330,AFUB_037190,AFUB_037210,AFUB_037220,AFUB_038600,AFUB_039140,AFUB_039150,AFUB_039500,AFUB_040580,AFUB_041920,AFUB_042820,AFUB_051440,AFUB_053150,AFUB_054310,AFUB_055940,AFUB_057290,AFUB_058830,AFUB_060620,AFUB_063540,AFUB_063950,AFUB_064490,AFUB_065710,AFUB_066820,AFUB_067230,AFUB_067340,AFUB_069810,AFUB_072930,AFUB_073740,AFUB_074500,AFUB_080790,AFUB_081500,AFUB_082080,AFUB_085610,AFUB_085820,AFUB_088380,AFUB_089880,AFUB_090180,AFUB_090370,AFUB_094600,AFUB_096010,AFUB_096500,AFUB_098510,AFUB_099350,AFUB_100220,AFUB_101810,AFUB_101990,	12.9	1.77	2.01	1.17917002386e-06	7.59633741686e-05	0.0014433041092
GO:0050793	regulation of developmental process	83	20	AFUB_001420,AFUB_005130,AFUB_015960,AFUB_019860,AFUB_023920,AFUB_026940,AFUB_028890,AFUB_029400,AFUB_030320,AFUB_035330,AFUB_037920,AFUB_039530,AFUB_046660,AFUB_055940,AFUB_060190,AFUB_063950,AFUB_072930,AFUB_088500,AFUB_089440,AFUB_093810,	24.1	3.31	4.16	1.32901413471e-06	8.13356650441e-05	0.00162671330088
GO:0000003	reproduction	187	33	AFUB_001420,AFUB_005090,AFUB_007280,AFUB_014090,AFUB_014350,AFUB_015800,AFUB_015960,AFUB_018660,AFUB_023920,AFUB_026940,AFUB_028890,AFUB_029400,AFUB_030320,AFUB_030640,AFUB_032790,AFUB_035330,AFUB_037920,AFUB_043130,AFUB_043350,AFUB_043420,AFUB_055240,AFUB_055940,AFUB_060190,AFUB_063950,AFUB_066150,AFUB_066820,AFUB_068240,AFUB_072790,AFUB_072930,AFUB_088500,AFUB_089440,AFUB_100220,AFUB_100320,	17.6	2.42	2.84	1.4130686438e-06	8.23617152385e-05	0.00172959602001
GO:0043934	sporulation	131	26	AFUB_005090,AFUB_007280,AFUB_014090,AFUB_014350,AFUB_015800,AFUB_015960,AFUB_018660,AFUB_023920,AFUB_026940,AFUB_028890,AFUB_029400,AFUB_030320,AFUB_030640,AFUB_037920,AFUB_043350,AFUB_045150,AFUB_055240,AFUB_055940,AFUB_060190,AFUB_063950,AFUB_066150,AFUB_066820,AFUB_072790,AFUB_072930,AFUB_088500,AFUB_089440,	19.8	2.72	3.26	1.99406990012e-06	0.000110942798079	0.00244074155775
GO:0043938	positive regulation of sporulation	34	12	AFUB_015960,AFUB_023920,AFUB_026940,AFUB_028890,AFUB_030320,AFUB_035330,AFUB_037920,AFUB_039530,AFUB_063950,AFUB_088500,AFUB_089440,AFUB_093810,	35.3	4.85	7.08	2.45172582387e-06	0.000125038017018	0.00300091240842
GO:0045597	positive regulation of cell differentiation	34	12	AFUB_015960,AFUB_023920,AFUB_026940,AFUB_028890,AFUB_030320,AFUB_035330,AFUB_037920,AFUB_039530,AFUB_063950,AFUB_088500,AFUB_089440,AFUB_093810,	35.3	4.85	7.08	2.45172582387e-06	0.000125038017018	0.00300091240842
GO:0051094	positive regulation of developmental process	40	13	AFUB_001420,AFUB_015960,AFUB_023920,AFUB_026940,AFUB_028890,AFUB_030320,AFUB_035330,AFUB_037920,AFUB_039530,AFUB_063950,AFUB_088500,AFUB_089440,AFUB_093810,	32.5	4.46	6.25	2.71233675196e-06	0.000132796007376	0.0033199001844
GO:0043937	regulation of sporulation	68	17	AFUB_015960,AFUB_023920,AFUB_026940,AFUB_028890,AFUB_029400,AFUB_030320,AFUB_035330,AFUB_037920,AFUB_039530,AFUB_046660,AFUB_055940,AFUB_060190,AFUB_063950,AFUB_072930,AFUB_088500,AFUB_089440,AFUB_093810,	25.0	3.43	4.35	4.83916987175e-06	0.000227813227808	0.00592314392302
GO:0030436	asexual sporulation	106	22	AFUB_005090,AFUB_007280,AFUB_014090,AFUB_014350,AFUB_015800,AFUB_015960,AFUB_018660,AFUB_023920,AFUB_026940,AFUB_028890,AFUB_029400,AFUB_030320,AFUB_037920,AFUB_043350,AFUB_055240,AFUB_055940,AFUB_060190,AFUB_063950,AFUB_066150,AFUB_072790,AFUB_088500,AFUB_089440,	20.8	2.85	3.43	5.73088134705e-06	0.000259799954399	0.00701459876878
